trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:04.300697+00:00,rf,ranking_rf,1,5070,5,1000,0.6440917214562247,738,262,0.4966478697435993,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224""]","{""n_estimators"": 222, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:36.395797+00:00,rf,ranking_rf,2,5090,4,994,0.6292435186653149,724,270,0.4963813027011166,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 87, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:55.578820+00:00,rf,ranking_rf,3,5030,4,1000,0.6021356850512247,722,278,0.49872873524992317,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 218, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:19:11.390677+00:00,rf,ranking_rf,4,5120,4,997,0.6353929783559754,727,270,0.4955167553103767,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 412, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:20:15.278755+00:00,rf,ranking_rf,5,5175,5,1000,0.6179772687748151,745,255,0.4969040766392457,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224""]","{""n_estimators"": 172, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:22:39.607818+00:00,rf,ranking_rf,6,5060,4,994,0.6432079381870712,722,272,0.49715460415660045,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 405, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
7,2026-06-05T11:25:06.709493+00:00,rf,ranking_rf,7,5110,4,999,0.6088792389791237,727,272,0.49638392761871347,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 444, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
8,2026-06-05T11:26:24.033699+00:00,rf,ranking_rf,8,5055,4,998,0.650432951646855,723,275,0.49366804508051393,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 225, ""max_depth"": 9, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:28:33.904066+00:00,rf,ranking_rf,9,5110,6,1000,0.6141753838159094,754,246,0.49523374453904817,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 390, ""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:31:00.325677+00:00,rf,ranking_rf,10,5060,4,997,0.6562788573233839,723,274,0.49402147652841794,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 432, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:32:45.425497+00:00,rf,ranking_rf,11,4965,4,992,0.597575227294789,715,277,0.49673576778116696,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 315, ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
12,2026-06-05T11:35:20.737048+00:00,rf,ranking_rf,12,5050,6,1000,0.6508144616977928,750,250,0.49363815830116764,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 459, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:37:30.311813+00:00,rf,ranking_rf,13,5020,4,999,0.6624756728294654,721,278,0.49484890020738104,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 381, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:39:48.629152+00:00,rf,ranking_rf,14,5060,4,997,0.6386882290878898,723,274,0.4970275507185595,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 388, ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:40:43.059548+00:00,rf,ranking_rf,15,5150,4,1000,0.6103143333239651,730,270,0.49604007931736277,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 157, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
16,2026-06-05T11:42:29.302711+00:00,rf,ranking_rf,16,5090,4,1000,0.6373977087313794,726,274,0.4977971386944686,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 295, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
17,2026-06-05T11:43:46.174091+00:00,rf,ranking_rf,17,5005,6,1000,0.6347505487299323,747,253,0.4940741302948647,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 219, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
18,2026-06-05T11:44:44.379316+00:00,rf,ranking_rf,18,4985,4,1000,0.6483305693556578,719,281,0.4946080824494206,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 161, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": null}"
19,2026-06-05T11:46:39.732833+00:00,rf,ranking_rf,19,5090,4,1000,0.6259244966379254,726,274,0.4961134116525569,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 348, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": null}"
20,2026-06-05T11:47:33.134553+00:00,rf,ranking_rf,20,5040,3,999,0.5922477680624245,709,290,0.49966255865941084,"[""V176"", ""V191"", ""V255""]","{""n_estimators"": 143, ""max_depth"": 4, ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
21,2026-06-05T11:49:56.497191+00:00,rf,ranking_rf,21,5155,4,999,0.6266015700227108,730,269,0.4982799764052834,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 405, ""max_depth"": 6, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
22,2026-06-05T11:51:23.888928+00:00,rf,ranking_rf,22,5135,4,1000,0.6237426343394958,729,271,0.496598666136018,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 257, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
23,2026-06-05T11:53:53.380343+00:00,rf,ranking_rf,23,5110,4,999,0.6287253606953616,727,272,0.49844917856210913,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 423, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
24,2026-06-05T11:54:44.383059+00:00,rf,ranking_rf,24,4985,4,1000,0.6456865505947605,719,281,0.49719098778059106,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 133, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
25,2026-06-05T11:57:31.057602+00:00,rf,ranking_rf,25,5030,4,1000,0.6626107546517672,722,278,0.4965214339298433,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 468, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
26,2026-06-05T11:58:39.274093+00:00,rf,ranking_rf,26,5080,4,996,0.6616802472196779,724,272,0.49573885894129555,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 182, ""max_depth"": 10, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
27,2026-06-05T12:00:38.162674+00:00,rf,ranking_rf,27,5120,4,1000,0.6359792905835412,728,272,0.4954118858543112,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 359, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""criterion"": ""gini"", ""class_weight"": null}"
28,2026-06-05T12:01:05.727792+00:00,rf,ranking_rf,28,4835,4,1000,0.6585790227202857,709,291,0.4928143400985442,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 69, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
