trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:13:52.629230+00:00,xgb,ranking_extra,1,4770,5,1000,0.6800833940505981,718,282,0.49757784605026245,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""max_depth"": 3, ""subsample"": 0.801381688035822, ""colsample_bytree"": 0.7724415914984484, ""min_child_weight"": 4, ""reg_alpha"": 0.6458941130666561, ""reg_lambda"": 1.375174422525385}"
2,2026-06-05T11:13:57.883197+00:00,xgb,ranking_extra,2,4625,3,998,0.6405456066131592,681,317,0.49775150418281555,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""max_depth"": 3, ""subsample"": 0.5000571874086724, ""colsample_bytree"": 0.6511662863159199, ""min_child_weight"": 1, ""reg_alpha"": 0.0923385947687978, ""reg_lambda"": 0.8725204227553418}"
3,2026-06-05T11:14:07.110110+00:00,xgb,ranking_extra,3,4955,4,997,0.6406348347663879,716,281,0.4972369968891144,"[""V176"", ""V255"", ""V191"", ""V224""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""max_depth"": 3, ""subsample"": 0.7748312389393546, ""colsample_bytree"": 0.7176611963091384, ""min_child_weight"": 9, ""reg_alpha"": 0.3205364371116073, ""reg_lambda"": 0.8088533461786602}"
4,2026-06-05T11:14:16.271762+00:00,xgb,ranking_extra,4,4725,3,993,0.6575472950935364,686,307,0.4965767562389374,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""max_depth"": 3, ""subsample"": 0.560664290602608, ""colsample_bytree"": 0.7846556637173405, ""min_child_weight"": 4, ""reg_alpha"": 0.8962930889334381, ""reg_lambda"": 0.7511706209276725}"
5,2026-06-05T11:14:38.622271+00:00,xgb,ranking_extra,5,4200,6,999,0.8099843859672546,693,306,0.4978271424770355,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""max_depth"": 8, ""subsample"": 0.9863421799824421, ""colsample_bytree"": 0.8574079968371824, ""min_child_weight"": 3, ""reg_alpha"": 0.5975562052137366, ""reg_lambda"": 0.7829283472340471}"
6,2026-06-05T11:15:11.047804+00:00,xgb,ranking_extra,6,3875,6,992,0.8335879445075989,669,323,0.4971025288105011,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""max_depth"": 9, ""subsample"": 0.6818684485502947, ""colsample_bytree"": 0.989722499580723, ""min_child_weight"": 5, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:15:28.559540+00:00,xgb,ranking_extra,7,4580,3,995,0.6850187182426453,677,318,0.49652910232543945,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""max_depth"": 5, ""subsample"": 0.5321273022953295, ""colsample_bytree"": 0.6850547012226904, ""min_child_weight"": 2, ""reg_alpha"": 0.5298173621928216, ""reg_lambda"": 1.3376148571133086}"
8,2026-06-05T11:15:56.012754+00:00,xgb,ranking_extra,8,4345,5,998,0.7295778393745422,689,309,0.4971463978290558,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""max_depth"": 9, ""subsample"": 0.7192046157204468, ""colsample_bytree"": 0.8617325889154706, ""min_child_weight"": 8, ""reg_alpha"": 0.5011204636599379, ""reg_lambda"": 0.6441022667195231}"
9,2026-06-05T11:16:11.434839+00:00,xgb,ranking_extra,9,4560,3,993,0.660435676574707,675,318,0.4970827102661133,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""max_depth"": 6, ""subsample"": 0.6163641639886454, ""colsample_bytree"": 0.5056994021387149, ""min_child_weight"": 6, ""reg_alpha"": 0.7660629257734966, ""reg_lambda"": 1.3038502264421383}"
10,2026-06-05T11:16:19.468838+00:00,xgb,ranking_extra,10,4940,3,998,0.6335892081260681,702,296,0.4966670870780945,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""max_depth"": 3, ""subsample"": 0.5669147644796383, ""colsample_bytree"": 0.5710555427272692, ""min_child_weight"": 7, ""reg_alpha"": 0.8772212074585868, ""reg_lambda"": 0.7750536389365965}"
