trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:13:52.521165+00:00,xgb,ranking_total,1,5255,5,999,0.7030144929885864,750,249,0.49913105368614197,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""max_depth"": 3, ""subsample"": 0.801381688035822, ""colsample_bytree"": 0.7724415914984484, ""min_child_weight"": 4, ""reg_alpha"": 0.6458941130666561, ""reg_lambda"": 1.375174422525385}"
2,2026-06-05T11:13:57.728850+00:00,xgb,ranking_total,2,5235,5,1000,0.701526939868927,749,251,0.4972658157348633,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""max_depth"": 3, ""subsample"": 0.5000571874086724, ""colsample_bytree"": 0.6511662863159199, ""min_child_weight"": 1, ""reg_alpha"": 0.0923385947687978, ""reg_lambda"": 0.8725204227553418}"
3,2026-06-05T11:14:06.857870+00:00,xgb,ranking_total,3,5325,5,1000,0.6792773604393005,755,245,0.49752378463745117,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""max_depth"": 3, ""subsample"": 0.7748312389393546, ""colsample_bytree"": 0.7176611963091384, ""min_child_weight"": 9, ""reg_alpha"": 0.3205364371116073, ""reg_lambda"": 0.8088533461786602}"
4,2026-06-05T11:14:15.920170+00:00,xgb,ranking_total,4,5245,6,1000,0.7108859419822693,763,237,0.496477335691452,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""max_depth"": 3, ""subsample"": 0.560664290602608, ""colsample_bytree"": 0.7846556637173405, ""min_child_weight"": 4, ""reg_alpha"": 0.8962930889334381, ""reg_lambda"": 0.7511706209276725}"
5,2026-06-05T11:14:38.127575+00:00,xgb,ranking_total,5,4830,7,998,0.8415862917900085,748,250,0.5006218552589417,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""max_depth"": 8, ""subsample"": 0.9863421799824421, ""colsample_bytree"": 0.8574079968371824, ""min_child_weight"": 3, ""reg_alpha"": 0.5975562052137366, ""reg_lambda"": 0.7829283472340471}"
6,2026-06-05T11:15:10.285497+00:00,xgb,ranking_total,6,4530,8,1000,0.8505867123603821,742,258,0.49789121747016907,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342"", ""V483""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""max_depth"": 9, ""subsample"": 0.6818684485502947, ""colsample_bytree"": 0.989722499580723, ""min_child_weight"": 5, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:15:27.549435+00:00,xgb,ranking_total,7,5070,6,999,0.739840030670166,751,248,0.4990065395832062,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""max_depth"": 5, ""subsample"": 0.5321273022953295, ""colsample_bytree"": 0.6850547012226904, ""min_child_weight"": 2, ""reg_alpha"": 0.5298173621928216, ""reg_lambda"": 1.3376148571133086}"
8,2026-06-05T11:15:54.753143+00:00,xgb,ranking_total,8,4900,6,1000,0.7576993703842163,740,260,0.5008746385574341,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""max_depth"": 9, ""subsample"": 0.7192046157204468, ""colsample_bytree"": 0.8617325889154706, ""min_child_weight"": 8, ""reg_alpha"": 0.5011204636599379, ""reg_lambda"": 0.6441022667195231}"
9,2026-06-05T11:16:09.989479+00:00,xgb,ranking_total,9,5075,7,1000,0.7379772663116455,765,235,0.4982786476612091,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""max_depth"": 6, ""subsample"": 0.6163641639886454, ""colsample_bytree"": 0.5056994021387149, ""min_child_weight"": 6, ""reg_alpha"": 0.7660629257734966, ""reg_lambda"": 1.3038502264421383}"
10,2026-06-05T11:16:17.909259+00:00,xgb,ranking_total,10,5280,5,1000,0.6812259554862976,752,248,0.4977342188358307,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""max_depth"": 3, ""subsample"": 0.5669147644796383, ""colsample_bytree"": 0.5710555427272692, ""min_child_weight"": 7, ""reg_alpha"": 0.8772212074585868, ""reg_lambda"": 0.7750536389365965}"
11,2026-06-05T11:16:30.420747+00:00,xgb,ranking_total,11,5205,5,1000,0.7025526165962219,747,253,0.4980226457118988,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 365, ""learning_rate"": 0.07481417278284423, ""max_depth"": 3, ""subsample"": 0.7215074738443041, ""colsample_bytree"": 0.9159556794856005, ""min_child_weight"": 1, ""reg_alpha"": 0.02517172841774562, ""reg_lambda"": 1.918416019686024}"
12,2026-06-05T11:16:43.394686+00:00,xgb,ranking_total,12,5295,5,1000,0.6824702620506287,753,247,0.49765655398368835,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 291, ""learning_rate"": 0.032921286223143685, ""max_depth"": 4, ""subsample"": 0.5970578108911735, ""colsample_bytree"": 0.9631414801634982, ""min_child_weight"": 8, ""reg_alpha"": 0.4854270981677824, ""reg_lambda"": 0.5255616291812173}"
13,2026-06-05T11:16:55.595111+00:00,xgb,ranking_total,13,5075,5,999,0.7328101992607117,738,261,0.4988050162792206,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 255, ""learning_rate"": 0.14100745447731072, ""max_depth"": 4, ""subsample"": 0.5432171394442744, ""colsample_bytree"": 0.8618009016460737, ""min_child_weight"": 1, ""reg_alpha"": 0.918747008099885, ""reg_lambda"": 2.3014297082340245}"
14,2026-06-05T11:17:24.591295+00:00,xgb,ranking_total,14,5120,7,1000,0.765719473361969,768,232,0.5010812282562256,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 276, ""learning_rate"": 0.06563118300523685, ""max_depth"": 9, ""subsample"": 0.9464913456356123, ""colsample_bytree"": 0.5895767397157889, ""min_child_weight"": 4, ""reg_alpha"": 0.7516615138131563, ""reg_lambda"": 1.7146866884161012}"
15,2026-06-05T11:17:49.627340+00:00,xgb,ranking_total,15,4945,7,999,0.841525673866272,756,243,0.5030845999717712,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 207, ""learning_rate"": 0.16828401577453878, ""max_depth"": 9, ""subsample"": 0.9352138428624064, ""colsample_bytree"": 0.504023474264909, ""min_child_weight"": 1, ""reg_alpha"": 0.22199405367014335, ""reg_lambda"": 1.1388510960084859}"
16,2026-06-05T11:18:01.023952+00:00,xgb,ranking_total,16,5260,6,1000,0.6967358589172363,764,236,0.4972720146179199,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 345, ""learning_rate"": 0.05683438873814977, ""max_depth"": 3, ""subsample"": 0.6807692230441115, ""colsample_bytree"": 0.637700464303206, ""min_child_weight"": 6, ""reg_alpha"": 0.02495303232907431, ""reg_lambda"": 2.144596193797504}"
17,2026-06-05T11:18:24.667486+00:00,xgb,ranking_total,17,4900,7,999,0.7646471261978149,753,246,0.5000926852226257,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 269, ""learning_rate"": 0.0789984238779135, ""max_depth"": 8, ""subsample"": 0.7753507282905905, ""colsample_bytree"": 0.5228009750664031, ""min_child_weight"": 5, ""reg_alpha"": 0.22308094169128878, ""reg_lambda"": 1.877452323642713}"
18,2026-06-05T11:18:44.599795+00:00,xgb,ranking_total,18,5155,7,999,0.728992223739624,770,229,0.4983710050582886,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 211, ""learning_rate"": 0.057266665768534036, ""max_depth"": 9, ""subsample"": 0.5957603934737474, ""colsample_bytree"": 0.5339501790956457, ""min_child_weight"": 7, ""reg_alpha"": 0.41022325051079334, ""reg_lambda"": 0.7059877162802353}"
19,2026-06-05T11:19:21.633364+00:00,xgb,ranking_total,19,4990,7,996,0.769538164138794,758,238,0.5044581890106201,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 398, ""learning_rate"": 0.04140161511166397, ""max_depth"": 8, ""subsample"": 0.939300735460776, ""colsample_bytree"": 0.5909201126857673, ""min_child_weight"": 3, ""reg_alpha"": 0.2039724048237226, ""reg_lambda"": 0.523013467581595}"
20,2026-06-05T11:19:32.446764+00:00,xgb,ranking_total,20,5120,5,999,0.703481912612915,741,258,0.4993111789226532,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 193, ""learning_rate"": 0.09457023444911432, ""max_depth"": 5, ""subsample"": 0.6234689865831635, ""colsample_bytree"": 0.5690658437381597, ""min_child_weight"": 3, ""reg_alpha"": 0.08299956500689287, ""reg_lambda"": 1.8439541625609333}"
21,2026-06-05T11:19:52.035131+00:00,xgb,ranking_total,21,4850,7,1000,0.7928492426872253,750,250,0.5010662078857422,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 371, ""learning_rate"": 0.17316184098817117, ""max_depth"": 5, ""subsample"": 0.907918738653842, ""colsample_bytree"": 0.5179447928084266, ""min_child_weight"": 8, ""reg_alpha"": 0.95045165254683, ""reg_lambda"": 1.8457313108222326}"
22,2026-06-05T11:20:02.959428+00:00,xgb,ranking_total,22,5265,5,1000,0.6943013072013855,751,249,0.4981742799282074,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 307, ""learning_rate"": 0.07336644896847253, ""max_depth"": 3, ""subsample"": 0.5180738382846721, ""colsample_bytree"": 0.9757994905334814, ""min_child_weight"": 3, ""reg_alpha"": 0.0507732566953768, ""reg_lambda"": 1.1045437879292337}"
23,2026-06-05T11:20:20.896496+00:00,xgb,ranking_total,23,4960,6,1000,0.7562471628189087,744,256,0.5010272264480591,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 232, ""learning_rate"": 0.10225215926450489, ""max_depth"": 7, ""subsample"": 0.8187395776032731, ""colsample_bytree"": 0.8900170891402719, ""min_child_weight"": 9, ""reg_alpha"": 0.3388639606037004, ""reg_lambda"": 1.0410656665956624}"
24,2026-06-05T11:20:28.847512+00:00,xgb,ranking_total,24,5305,5,998,0.7124757170677185,753,245,0.4992997944355011,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 183, ""learning_rate"": 0.13036456877026253, ""max_depth"": 4, ""subsample"": 0.8827298796984535, ""colsample_bytree"": 0.6411979219835564, ""min_child_weight"": 8, ""reg_alpha"": 0.18399514382436277, ""reg_lambda"": 0.6996402351922164}"
