trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:42.728583+00:00,lgbm,ranking_total,1,4635,6,999,0.8565707938602765,722,277,0.4976651165097316,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""num_leaves"": 84, ""min_child_samples"": 13, ""colsample_bytree"": 0.9289728088113784, ""reg_alpha"": 0.8472517387841254, ""reg_lambda"": 1.7471273935719447}"
2,2026-06-05T11:15:14.121629+00:00,lgbm,ranking_total,2,4890,7,995,0.8787984463099934,751,244,0.4959451644656856,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""num_leaves"": 92, ""min_child_samples"": 19, ""colsample_bytree"": 0.6511662863159199, ""reg_alpha"": 0.14675589081711304, ""reg_lambda"": 0.6846771895375956}"
3,2026-06-05T11:16:08.816058+00:00,lgbm,ranking_total,3,4790,7,1000,0.8157071231937074,746,254,0.49332239981583087,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""num_leaves"": 92, ""min_child_samples"": 32, ""colsample_bytree"": 0.973865305763939, ""reg_alpha"": 0.48474909678375566, ""reg_lambda"": 1.1410728742232146}"
4,2026-06-05T11:16:56.988156+00:00,lgbm,ranking_total,4,4640,7,1000,0.8490902198576536,736,264,0.4965427585296942,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""num_leaves"": 76, ""min_child_samples"": 18, ""colsample_bytree"": 0.7554138025988315, ""reg_alpha"": 0.8929469543476547, ""reg_lambda"": 2.292586177866876}"
5,2026-06-05T11:17:47.517999+00:00,lgbm,ranking_total,5,4675,6,997,0.8791486776449329,724,273,0.5010764140035817,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""num_leaves"": 89, ""min_child_samples"": 11, ""colsample_bytree"": 0.9278104741678237, ""reg_alpha"": 0.6090356014499725, ""reg_lambda"": 1.6951124104274733}"
6,2026-06-05T11:18:18.029850+00:00,lgbm,ranking_total,6,4845,7,995,0.8414250093291559,748,247,0.5007578044337986,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""num_leaves"": 36, ""min_child_samples"": 19, ""colsample_bytree"": 0.7442055943974146, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:19:25.830543+00:00,lgbm,ranking_total,7,4670,7,1000,0.8706288161811234,738,262,0.4934881374166711,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""num_leaves"": 99, ""min_child_samples"": 26, ""colsample_bytree"": 0.9925144076163026, ""reg_alpha"": 0.09947169221801577, ""reg_lambda"": 1.7169472339571628}"
8,2026-06-05T11:20:21.121814+00:00,lgbm,ranking_total,8,4710,7,998,0.7989394591256851,740,258,0.4944332434096506,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""num_leaves"": 87, ""min_child_samples"": 29, ""colsample_bytree"": 0.8617325889154706, ""reg_alpha"": 0.9779895119966027, ""reg_lambda"": 1.5769917408208673}"
9,2026-06-05T11:21:06.870272+00:00,lgbm,ranking_total,9,4695,8,1000,0.8258935751153897,753,247,0.49412394575101426,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342"", ""V483""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""num_leaves"": 83, ""min_child_samples"": 31, ""colsample_bytree"": 0.8830314628867483, ""reg_alpha"": 0.40192511322106916, ""reg_lambda"": 2.24417716977584}"
10,2026-06-05T11:21:47.496275+00:00,lgbm,ranking_total,10,4765,7,999,0.8319558099083477,744,255,0.4943145062263771,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""num_leaves"": 76, ""min_child_samples"": 32, ""colsample_bytree"": 0.5710555427272692, ""reg_alpha"": 0.21855867562607822, ""reg_lambda"": 1.337016361020905}"
11,2026-06-05T11:22:24.043716+00:00,lgbm,ranking_total,11,4955,7,1000,0.7858455461210551,757,243,0.5033742612988658,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 365, ""learning_rate"": 0.07481417278284423, ""num_leaves"": 35, ""min_child_samples"": 10, ""colsample_bytree"": 0.7215074738443041, ""reg_alpha"": 0.8319113589712009, ""reg_lambda"": 1.6666434738754725}"
12,2026-06-05T11:23:20.062591+00:00,lgbm,ranking_total,12,4865,7,1000,0.783728886187365,751,249,0.49779663991992146,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 291, ""learning_rate"": 0.032921286223143685, ""num_leaves"": 75, ""min_child_samples"": 23, ""colsample_bytree"": 0.9631414801634982, ""reg_alpha"": 0.10517515603771133, ""reg_lambda"": 0.9514254333493233}"
