trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:13:53.347256+00:00,xgb,ranking_xgb,1,4855,7,999,0.7082067728042603,750,249,0.49818170070648193,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""max_depth"": 3, ""subsample"": 0.801381688035822, ""colsample_bytree"": 0.7724415914984484, ""min_child_weight"": 4, ""reg_alpha"": 0.6458941130666561, ""reg_lambda"": 1.375174422525385}"
2,2026-06-05T11:13:58.497227+00:00,xgb,ranking_xgb,2,4845,5,1000,0.6932939887046814,723,277,0.49781909584999084,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""max_depth"": 3, ""subsample"": 0.5000571874086724, ""colsample_bytree"": 0.6511662863159199, ""min_child_weight"": 1, ""reg_alpha"": 0.0923385947687978, ""reg_lambda"": 0.8725204227553418}"
3,2026-06-05T11:14:07.613403+00:00,xgb,ranking_xgb,3,5055,5,1000,0.6665633320808411,737,263,0.4975593686103821,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""max_depth"": 3, ""subsample"": 0.7748312389393546, ""colsample_bytree"": 0.7176611963091384, ""min_child_weight"": 9, ""reg_alpha"": 0.3205364371116073, ""reg_lambda"": 0.8088533461786602}"
4,2026-06-05T11:14:16.634924+00:00,xgb,ranking_xgb,4,4940,7,1000,0.7126124501228333,756,244,0.4962901473045349,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""max_depth"": 3, ""subsample"": 0.560664290602608, ""colsample_bytree"": 0.7846556637173405, ""min_child_weight"": 4, ""reg_alpha"": 0.8962930889334381, ""reg_lambda"": 0.7511706209276725}"
5,2026-06-05T11:14:40.054399+00:00,xgb,ranking_xgb,5,4520,5,999,0.8042266964912415,701,298,0.5005143880844116,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""max_depth"": 8, ""subsample"": 0.9863421799824421, ""colsample_bytree"": 0.8574079968371824, ""min_child_weight"": 3, ""reg_alpha"": 0.5975562052137366, ""reg_lambda"": 0.7829283472340471}"
6,2026-06-05T11:15:13.858890+00:00,xgb,ranking_xgb,6,4170,8,1000,0.8372600674629211,718,282,0.496762216091156,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""max_depth"": 9, ""subsample"": 0.6818684485502947, ""colsample_bytree"": 0.989722499580723, ""min_child_weight"": 5, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:15:31.509167+00:00,xgb,ranking_xgb,7,4665,8,1000,0.743125855922699,751,249,0.4976752996444702,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""max_depth"": 5, ""subsample"": 0.5321273022953295, ""colsample_bytree"": 0.6850547012226904, ""min_child_weight"": 2, ""reg_alpha"": 0.5298173621928216, ""reg_lambda"": 1.3376148571133086}"
8,2026-06-05T11:15:59.828808+00:00,xgb,ranking_xgb,8,4515,8,1000,0.7575019001960754,741,259,0.4980931580066681,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""max_depth"": 9, ""subsample"": 0.7192046157204468, ""colsample_bytree"": 0.8617325889154706, ""min_child_weight"": 8, ""reg_alpha"": 0.5011204636599379, ""reg_lambda"": 0.6441022667195231}"
9,2026-06-05T11:16:15.343829+00:00,xgb,ranking_xgb,9,4710,8,1000,0.7326342463493347,754,246,0.49762392044067383,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""max_depth"": 6, ""subsample"": 0.6163641639886454, ""colsample_bytree"": 0.5056994021387149, ""min_child_weight"": 6, ""reg_alpha"": 0.7660629257734966, ""reg_lambda"": 1.3038502264421383}"
10,2026-06-05T11:16:23.211799+00:00,xgb,ranking_xgb,10,4840,6,1000,0.6765716671943665,736,264,0.4975413978099823,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191"", ""V224""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""max_depth"": 3, ""subsample"": 0.5669147644796383, ""colsample_bytree"": 0.5710555427272692, ""min_child_weight"": 7, ""reg_alpha"": 0.8772212074585868, ""reg_lambda"": 0.7750536389365965}"
