trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:41.990963+00:00,lgbm,ranking_lgbm,1,4525,7,999,0.8627129993301811,728,271,0.49602426798503185,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""num_leaves"": 84, ""min_child_samples"": 13, ""colsample_bytree"": 0.9289728088113784, ""reg_alpha"": 0.8472517387841254, ""reg_lambda"": 1.7471273935719447}"
2,2026-06-05T11:15:13.404516+00:00,lgbm,ranking_lgbm,2,4775,7,1000,0.8839487325719672,745,255,0.4974813441698075,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""num_leaves"": 92, ""min_child_samples"": 19, ""colsample_bytree"": 0.6511662863159199, ""reg_alpha"": 0.14675589081711304, ""reg_lambda"": 0.6846771895375956}"
3,2026-06-05T11:16:08.066172+00:00,lgbm,ranking_lgbm,3,4850,7,1000,0.8165622968595271,750,250,0.49339104393576627,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""num_leaves"": 92, ""min_child_samples"": 32, ""colsample_bytree"": 0.973865305763939, ""reg_alpha"": 0.48474909678375566, ""reg_lambda"": 1.1410728742232146}"
4,2026-06-05T11:16:57.428273+00:00,lgbm,ranking_lgbm,4,4730,7,1000,0.8486228609191985,742,258,0.49593022229180644,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""num_leaves"": 76, ""min_child_samples"": 18, ""colsample_bytree"": 0.7554138025988315, ""reg_alpha"": 0.8929469543476547, ""reg_lambda"": 2.292586177866876}"
5,2026-06-05T11:17:48.982055+00:00,lgbm,ranking_lgbm,5,4655,7,1000,0.8783667094119182,737,263,0.49871238750715213,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""num_leaves"": 89, ""min_child_samples"": 11, ""colsample_bytree"": 0.9278104741678237, ""reg_alpha"": 0.6090356014499725, ""reg_lambda"": 1.6951124104274733}"
6,2026-06-05T11:18:21.009585+00:00,lgbm,ranking_lgbm,6,4885,7,999,0.8400438929975249,752,247,0.4994245556361528,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""num_leaves"": 36, ""min_child_samples"": 19, ""colsample_bytree"": 0.7442055943974146, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:19:30.796596+00:00,lgbm,ranking_lgbm,7,4600,7,999,0.8708774980079412,733,266,0.4938817449848454,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""num_leaves"": 99, ""min_child_samples"": 26, ""colsample_bytree"": 0.9925144076163026, ""reg_alpha"": 0.09947169221801577, ""reg_lambda"": 1.7169472339571628}"
8,2026-06-05T11:20:26.551838+00:00,lgbm,ranking_lgbm,8,4715,7,1000,0.7976891074627687,741,259,0.4936106477204777,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""num_leaves"": 87, ""min_child_samples"": 29, ""colsample_bytree"": 0.8617325889154706, ""reg_alpha"": 0.9779895119966027, ""reg_lambda"": 1.5769917408208673}"
9,2026-06-05T11:21:12.494854+00:00,lgbm,ranking_lgbm,9,4675,7,999,0.8208517447801327,738,261,0.49417001084012063,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""num_leaves"": 83, ""min_child_samples"": 31, ""colsample_bytree"": 0.8830314628867483, ""reg_alpha"": 0.40192511322106916, ""reg_lambda"": 2.24417716977584}"
10,2026-06-05T11:21:53.184636+00:00,lgbm,ranking_lgbm,10,4715,7,1000,0.8327517706909765,741,259,0.493913471426047,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""num_leaves"": 76, ""min_child_samples"": 32, ""colsample_bytree"": 0.5710555427272692, ""reg_alpha"": 0.21855867562607822, ""reg_lambda"": 1.337016361020905}"
11,2026-06-05T11:22:30.262072+00:00,lgbm,ranking_lgbm,11,4990,7,999,0.790642323549351,759,240,0.5016258113600697,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 365, ""learning_rate"": 0.07481417278284423, ""num_leaves"": 35, ""min_child_samples"": 10, ""colsample_bytree"": 0.7215074738443041, ""reg_alpha"": 0.8319113589712009, ""reg_lambda"": 1.6666434738754725}"
12,2026-06-05T11:23:27.088300+00:00,lgbm,ranking_lgbm,12,4855,6,1000,0.7641209860558681,737,263,0.4975623354745384,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176""]","{""n_estimators"": 291, ""learning_rate"": 0.032921286223143685, ""num_leaves"": 75, ""min_child_samples"": 23, ""colsample_bytree"": 0.9631414801634982, ""reg_alpha"": 0.10517515603771133, ""reg_lambda"": 0.9514254333493233}"
13,2026-06-05T11:23:44.059940+00:00,lgbm,ranking_lgbm,13,4955,7,1000,0.801423518318145,757,243,0.5057178908514314,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 255, ""learning_rate"": 0.14100745447731072, ""num_leaves"": 22, ""min_child_samples"": 13, ""colsample_bytree"": 0.8618009016460737, ""reg_alpha"": 0.3504782760049925, ""reg_lambda"": 0.5679283425318427}"
14,2026-06-05T11:24:18.266696+00:00,lgbm,ranking_lgbm,14,4970,7,1000,0.7795211255585115,758,242,0.49662236513723945,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 276, ""learning_rate"": 0.06563118300523685, ""num_leaves"": 45, ""min_child_samples"": 45, ""colsample_bytree"": 0.8758307569065782, ""reg_alpha"": 0.6073433442080506, ""reg_lambda"": 2.088042700910767}"
15,2026-06-05T11:24:41.926923+00:00,lgbm,ranking_lgbm,15,4805,7,997,0.847907528345999,746,251,0.5023294313065564,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 207, ""learning_rate"": 0.16828401577453878, ""num_leaves"": 42, ""min_child_samples"": 17, ""colsample_bytree"": 0.6831411980392297, ""reg_alpha"": 0.1490051098893279, ""reg_lambda"": 0.9025715136170944}"
16,2026-06-05T11:25:02.976253+00:00,lgbm,ranking_lgbm,16,5060,7,997,0.7511760844592663,763,234,0.49984903399431424,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 345, ""learning_rate"": 0.05683438873814977, ""num_leaves"": 20, ""min_child_samples"": 38, ""colsample_bytree"": 0.9093058864600991, ""reg_alpha"": 0.9266428241878765, ""reg_lambda"": 0.5499060646581486}"
17,2026-06-05T11:26:05.569156+00:00,lgbm,ranking_lgbm,17,4805,7,1000,0.8430452130383305,747,253,0.497438462401286,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 269, ""learning_rate"": 0.0789984238779135, ""num_leaves"": 89, ""min_child_samples"": 11, ""colsample_bytree"": 0.6543083900421931, ""reg_alpha"": 0.1391945731694164, ""reg_lambda"": 1.9089282784325023}"
18,2026-06-05T11:26:22.025616+00:00,lgbm,ranking_lgbm,18,5045,7,1000,0.7385604202545875,763,237,0.49802638664034965,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 211, ""learning_rate"": 0.057266665768534036, ""num_leaves"": 26, ""min_child_samples"": 32, ""colsample_bytree"": 0.9444324115958078, ""reg_alpha"": 0.8068213297947158, ""reg_lambda"": 1.3204465010215867}"
19,2026-06-05T11:27:50.889724+00:00,lgbm,ranking_lgbm,19,5135,7,1000,0.8142868790100671,769,231,0.5004782097735683,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 398, ""learning_rate"": 0.04140161511166397, ""num_leaves"": 89, ""min_child_samples"": 12, ""colsample_bytree"": 0.6019862024118613, ""reg_alpha"": 0.011506733790797474, ""reg_lambda"": 1.3537829665526069}"
20,2026-06-05T11:28:20.308541+00:00,lgbm,ranking_lgbm,20,4985,7,994,0.7995842767955599,757,237,0.4980014605911927,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 193, ""learning_rate"": 0.09457023444911432, ""num_leaves"": 60, ""min_child_samples"": 29, ""colsample_bytree"": 0.5690658437381597, ""reg_alpha"": 0.33144656327093147, ""reg_lambda"": 0.6659991300137857}"
21,2026-06-05T11:28:48.835167+00:00,lgbm,ranking_lgbm,21,4635,7,998,0.8517117003639515,735,263,0.5018484893504603,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 371, ""learning_rate"": 0.17316184098817117, ""num_leaves"": 29, ""min_child_samples"": 30, ""colsample_bytree"": 0.5179447928084266, ""reg_alpha"": 0.6917575817588839, ""reg_lambda"": 1.2573618840108163}"
22,2026-06-05T11:29:32.461382+00:00,lgbm,ranking_lgbm,22,4880,7,1000,0.8111527954081132,752,248,0.4952033441650785,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 307, ""learning_rate"": 0.07336644896847253, ""num_leaves"": 68, ""min_child_samples"": 45, ""colsample_bytree"": 0.6029613826337195, ""reg_alpha"": 0.0507732566953768, ""reg_lambda"": 1.1045437879292337}"
23,2026-06-05T11:29:49.777228+00:00,lgbm,ranking_lgbm,23,4790,7,1000,0.7933514050942875,746,254,0.5011139750435883,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 232, ""learning_rate"": 0.10225215926450489, ""num_leaves"": 28, ""min_child_samples"": 41, ""colsample_bytree"": 0.9466550919060888, ""reg_alpha"": 0.23463765301586204, ""reg_lambda"": 0.5227931621730999}"
